rank	name	hostile_hits	proper_hits	sizes
1	central.transfer_det12	37	284	3
2	central.transfer_det01	36	283	3
3	central.transfer_det02	36	283	3
4	central.u0	36	283	3
5	shifted.v0	32	279	3
6	shifted.adj_dv0	32	268	3
7	shifted.adj_resultant_v	32	268	3
8	shifted.adj_v_det01	32	268	3
9	shifted.adj_v_det02	32	268	3
10	central.adj_resultant_u	20	57	1
11	central.adj_u_det02	19	58	1
12	central.adj_du0	19	56	1
13	central.adj_u_det01	19	56	1
14	central.product_hash03	5	16	2
15	central.product_hash07	4	13	1
16	shifted.product_hash02	4	12	1
17	shifted.product_hash01	4	11	1
18	central.product_hash00	4	7	2
19	shifted.product_hash00	3	15	1
20	shifted.product_hash06	3	15	1
21	shifted.product_hash07	3	9	1
22	central.product_hash05	3	8	1
23	shifted.product_hash05	3	6	1
24	shifted.product_hash03	2	10	1
25	shifted.product_hash04	2	9	1
26	central.product_hash06	2	8	1
27	central.product_hash04	2	7	1
28	shifted.pair_transfer_det0	2	6	1
29	shifted.u1	1	20	3
30	central.product_hash02	1	3	1
31	shifted.transfer_f2	1	3	1
32	central.jet_det01	1	2	1
33	central.pair_projection_diff02	1	2	1
34	central.projection02	1	2	1
35	central.projection05	1	2	1
36	central.projection09	1	2	1
37	central.transfer_f0	1	2	1
38	shifted.projection03	1	2	1
39	central.adj_du2	1	1	1
40	central.adj_dv2	1	1	1
41	central.adj_resultant_v	1	1	1
42	central.projection08	1	1	1
43	shifted.projection07	1	1	1
44	shifted.projection11	1	1	1
45	shifted.projection12	1	1	1
46	shifted.adj_dv2	0	33	3
47	central.v1	0	25	3
48	shifted.v1	0	22	3
49	shifted.transfer_det01	0	11	3
50	shifted.jet_det02	0	8	2
51	shifted.transfer_f0	0	8	2
52	shifted.transfer_r0	0	8	2
53	central.product_hash01	0	6	1
54	central.adj_du1	0	2	1
55	central.pair_projection_diff01	0	2	1
56	central.projection04	0	2	1
57	central.projection06	0	2	1
58	central.projection14	0	2	1
59	shifted.projection06	0	2	1
60	central.adj_dv1	0	1	1
61	central.adj_u_det12	0	1	1
62	central.adj_v_det02	0	1	1
63	central.adj_v_det12	0	1	1
64	central.jet_resultant	0	1	1
